LOCATIONS,MONTH,FUEL/DIESEL,CEO'S EXPENSES,BANK CHARGES ,MISCELLANEOUS ,SALARIES,IMPREST,REPAIRS,COMPUTER/ INT EXP.,ELECT/UTIL,RENT,SANITATION,INCEN/BONUS,TRANSPORT,OFF SUP/EQPM.,ADVERT.,TOTAL
ALAKAHIA,JANUARY,0,0,0,0,"50,000","100,000",0,0,0,0,0,0,0,0,0,"150,000"
ALAKAHIA,FEBRUARY,0,0,0,,"991,900",0,0,0,0,0,0,"200,000",0,0,0,"1,191,900"
ALAKAHIA,MARCH,0,0,0,,"97,500","100,000",0,0,0,0,0,0,0,0,0,"197,500"
OWERRI 2,JANUARY,0,0,0,0,"322,500",0,0,0,0,0,0,0,0,0,0,"322,500"
OWERRI 2,FEBRUARY,,,,,"372,500",,,,,,,,,"255,500",,"628,000"
OWERRI 2,MARCH,0,0,0,"61,500",0,"100,000",0,0,0,0,0,0,0,0,0,"161,500"
ONITSHA 2,JANUARY,0,0,0,0,"874,000","250,000",0,0,0,0,0,0,0,0,0,"1,124,000"
ONITSHA 2,FEBRUARY,0,0,0,0,"845,000","100,000",0,0,"50,000",0,0,0,0,0,0,"995,000"
ONITSHA 2,MARCH,0,0,0,0,0,"150,000",0,0,0,0,0,0,0,0,0,"150,000"
AWKA,JANUARY,0,0,0,0,"903,300","200,000",0,0,0,0,0,0,0,0,0,"1,103,300"
AWKA,FEBRUARY,0,0,0,"1,000,000","891,000","162,000",0,0,0,0,0,0,0,0,0,"2,053,000"
AWKA,MARCH,0,0,0,0,0,"100,000",0,0,0,0,"48,000",0,0,0,0,"148,000"
AIRPORT,JANUARY,0,0,0,"20,000","211,000",0,0,0,0,0,0,0,0,0,0,"231,000"
AIRPORT,FEBRUARY,0,0,0,0,"210,000","70,000",0,0,0,0,0,0,0,0,0,"280,000"
AIRPORT,MARCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OKIGWE HUB,JANUARY,0,0,0,0,"117,000",0,0,0,0,0,0,0,0,0,0,"117,000"
OKIGWE HUB,FEBRUARY,0,0,0,0,"120,000","25,000",0,0,0,0,0,0,0,0,0,"145,000"
OKIGWE HUB,MARCH,0,0,0,0,0,"27,500",0,0,0,0,0,0,0,0,0,"27,500"
MBAITOLI,JANUARY,0,0,0,0,0,"16,500",0,0,0,0,0,0,0,0,0,"16,500"
MBAITOLI,FEBRUARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBAITOLI,MARCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHIALA,JANUARY,0,0,0,0,0,0,0,0,0,"100,000",0,0,0,0,0,"100,000"
IHIALA,FEBRUARY,0,0,0,0,0,"19,850",0,0,0,"180,000",0,0,0,0,0,"199,850"
IHIALA,MARCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMSU,JANUARY,0,0,0,"15,000",0,0,0,0,0,0,0,0,0,0,0,"15,000"
IMSU,FEBRUARY,0,0,0,0,0,0,"150,000",0,0,0,0,0,0,0,0,"150,000"
IMSU,MARCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVAN 1,JANUARY,0,0,0,"17,000",0,0,0,0,0,0,0,0,0,0,0,"17,000"
ALVAN 1,FEBRUARY,0,0,0,0,0,"20,600",0,0,0,0,0,0,0,0,0,"20,600"
ALVAN 1,MARCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEKEDE,JANUARY,0,0,0,0,0,"27,800",0,0,0,0,0,0,0,0,0,"27,800"
NEKEDE,FEBRUARY,0,0,0,0,0,0,"24,500",0,0,0,0,0,0,0,0,"24,500"
NEKEDE,MARCH,0,0,0,0,0,"24,600",0,0,0,0,0,0,0,0,0,"24,600"
STATE SEC,JANUARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STATE SEC,FEBRUARY,0,0,0,0,0,0,"45,000",0,0,0,0,0,0,0,0,"45,000"
STATE SEC,MARCH,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNIZIK 2,JANUARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNIZIK 2,FEBRUARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNIZIK 2,MARCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMT,JANUARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
