SKU,Product,Variation,Category,Location,Unit Selling Price,Current stock,Current Stock Value (By purchase price),Current Stock Value (By sale price),Potential profit,Total unit sold,Total Unit Transfered,Total Unit Adjusted,Custom Field1,Custom Field2,Custom Field3,Custom Field4
120329,MTN 5G HYNET FLEX,,ACCESSORIES,OWERRI 2 ,80000.0,1.0,73599.995,80000.0,6400.005,108.0,1.0,0.0,,,,
120329,MTN 5G HYNET FLEX,,ACCESSORIES,ALAKAHIA ,80000.0,0.0,1692799.544,0.0,1692799.544,189.0,7.0,0.0,,,,
120329,MTN 5G HYNET FLEX,,ACCESSORIES,ALVAN 2 ,80000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,
120329,MTN 5G HYNET FLEX,,ACCESSORIES,HEAD OFFICE,80000.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,,,,
120329,MTN 5G HYNET FLEX,,ACCESSORIES,ASABA INPLANT,80000.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,,,,
120329,MTN 5G HYNET FLEX,,ACCESSORIES,ONITSHA 2 ,80000.0,0.0,0.0,0.0,0.0,34.0,14.0,0.0,,,,
120329,MTN 5G HYNET FLEX,,ACCESSORIES,AWKA ,80000.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,,,,
120329,MTN 5G HYNET FLEX,,ACCESSORIES,OKIGWE HUB,80000.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,,,,
120329,MTN 5G HYNET FLEX,,ACCESSORIES,EBU AWKA,80000.0,5.0,367999.98,400000.0,32000.02,24.0,0.0,0.0,,,,
120329,MTN 5G HYNET FLEX,,ACCESSORIES,AIRPORT ,80000.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,,,,
120329,MTN 5G HYNET FLEX,,ACCESSORIES,IMSU ,80000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,
120330,INFINIX HOT 10 LTE,,PHONES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
120331,INFINIX HOT 10 PLAY 64GB/4G,,PHONES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
120332,INFINIX HOT 12i (2/64),,PHONES,OWERRI 2 ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,
120333,INFINIX HOT 20i (4/64),,PHONES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
120334,INFINIX HOT 30I (4/128GB),,PHONES,OWERRI 2 ,102000.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,
120335,INFINIX HOT 11 PLAY 64/4,,PHONES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
120336,INFINIX NOTE 12i,,PHONES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
