Action,SKU,Product,Variation,Category,Location,Unit Selling Price,Current stock,Current Stock Value (By purchase price),Current Stock Value (By sale price),Potential profit,Total unit sold,Total Unit Transfered,Total Unit Adjusted,Custom Field1,Custom Field2,Custom Field3,Custom Field4
Product stock history,120329,MTN 5G HYNET FLEX,,ACCESSORIES,OWERRI 2 CONNECT / LITE,"₦ 80,000.000 View group prices",1.0 UNIT(S),"₦ 73,599.995","₦ 80,000.000","₦ 6,400.005",108.0 UNIT(S),1.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,120329,MTN 5G HYNET FLEX,,ACCESSORIES,ALAKAHIA CONNECT / LITE,"₦ 80,000.000 View group prices",0.0 UNIT(S),"₦ 1,692,799.544",₦ 0.000,"₦ -1,692,799.544",189.0 UNIT(S),7.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,120329,MTN 5G HYNET FLEX,,ACCESSORIES,ALVAN 2 CONNECT POINT,"₦ 80,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,1.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,120329,MTN 5G HYNET FLEX,,ACCESSORIES,HEAD OFFICE,"₦ 80,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,0.0 UNIT(S),18.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,120329,MTN 5G HYNET FLEX,,ACCESSORIES,ASABA INPLANT,"₦ 80,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,14.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,120329,MTN 5G HYNET FLEX,,ACCESSORIES,ONITSHA 2 CONNECT LITE,"₦ 80,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,34.0 UNIT(S),14.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,120329,MTN 5G HYNET FLEX,,ACCESSORIES,AWKA CONNECT / LITE,"₦ 80,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,26.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,120329,MTN 5G HYNET FLEX,,ACCESSORIES,OKIGWE HUB,"₦ 80,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,4.0 UNIT(S),6.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,120329,MTN 5G HYNET FLEX,,ACCESSORIES,EBU AWKA,"₦ 80,000.000 View group prices",5.0 UNIT(S),"₦ 367,999.980","₦ 400,000.000","₦ 32,000.020",24.0 UNIT(S),0.0 UNIT(S),0.0 UNIT(S),,,,
Product stock history,120329,MTN 5G HYNET FLEX,,ACCESSORIES,AIRPORT CONNECT POINT,"₦ 80,000.000 View group prices",0.0 UNIT(S),₦ 0.000,₦ 0.000,₦ 0.000,8.0 UNIT(S),1.0 UNIT(S),0.0 UNIT(S),,,,
